description,_source_file,aprlGuid,automationAvailable,learnMoreLink,longDescription,pgVerified,potentialBenefits,recommendationControl,recommendationImpact,recommendationMetadataState,recommendationResourceType,recommendationTypeId,tags
Deploy Azure Firewall across multiple availability zones,azure-resources/Network/azureFirewalls/recommendations.yaml,c72b7fee-1fa0-5b4b-98e5-54bcae95bb74,True,"[{'name': 'Azure Well Architected Framework - Azure Firewall', 'url': 'https://learn.microsoft.com/azure/architecture/framework/services/networking/azure-firewall'}]","Azure Firewall offers different SLAs depending on its deployment; in a single availability zone or across multiple, potentially improving reliability and performance.
",True,Enhanced SLA and reliability,HighAvailability,High,Active,Microsoft.Network/azureFirewalls,e82f5b61-b0f8-48e7-8e18-5aa1f57bff81,[]
Monitor Azure Firewall metrics,azure-resources/Network/azureFirewalls/recommendations.yaml,3c8fa7c6-6b78-a24a-a63f-348a7c71acb9,True,"[{'name': 'Azure Firewall metrics supported in Azure Monitor', 'url': 'https://learn.microsoft.com/azure/azure-monitor/essentials/metrics-supported#microsoftnetworkazurefirewalls'}]","Monitor Azure Firewall for overall health, processed throughput, and outbound SNAT port usage. Get alerted before limits impact services. Consider NAT gateway integration with zonal deployments; note limitations with zone redundant firewalls and secure virtual hub networks.
",True,Improve health and performance monitoring,MonitoringAndAlerting,High,Active,Microsoft.Network/azureFirewalls,,[]
Configure DDoS Protection on the Azure Firewall VNet,azure-resources/Network/azureFirewalls/recommendations.yaml,1b2dbf4a-8a0b-5e4b-8f4e-3f758188910d,True,"[{'name': 'Azure DDoS Protection overview', 'url': 'https://learn.microsoft.com/azure/ddos-protection/ddos-protection-overview'}]","Associate a DDoS protection plan with the virtual network hosting Azure Firewall to provide enhanced mitigation against DDoS attacks. Azure Firewall Manager integrates the creation of firewall infrastructure and DDoS protection plans.
",True,Enhanced DDoS attack defense,Security,High,Disabled,Microsoft.Network/azureFirewalls,,[]
Leverage Azure Firewall policy inheritance model,azure-resources/Network/azureFirewalls/recommendations.yaml,3a63560a-1ed3-6140-acd1-d1d23f9a2e12,False,"[{'name': 'Azure Firewall Policy hierarchy', 'url': 'https://learn.microsoft.com/azure/firewall-manager/rule-hierarchy'}]","Azure Firewall policy supports rule hierarchies for compliance enforcement, using a central base policy with higher priority over child policies, and employs Azure custom roles to safeguard base policy and manage access within subscriptions or groups.
",True,Enhanced compliance and rule hierarchy,Governance,Medium,Disabled,Microsoft.Network/azureFirewalls,,[]
Configure 2-4 PIPs for SNAT Port utilization,azure-resources/Network/azureFirewalls/recommendations.yaml,d2e4a38e-2307-4299-a217-4c0cebc9a7f6,False,"[{'name': 'Azure Well-Architected Framework review - Azure Firewall', 'url': 'https://learn.microsoft.com/azure/well-architected/service-guides/azure-firewall#recommendations'}]","Configure a minimum of two to four public IP addresses per Azure Firewall to avoid SNAT exhaustion. Azure Firewall offers SNAT for all outbound traffic to public IPs, providing 2,496 SNAT ports for each additional PIP.
",False,Avoids SNAT exhaustion.,HighAvailability,Medium,Active,Microsoft.Network/azureFirewalls,,[]
"Monitor ""AZFW Latency Probe"" metric",azure-resources/Network/azureFirewalls/recommendations.yaml,8faace2d-a36e-425c-aa58-2ad99e3e0b7a,False,"[{'name': 'Azure Well-Architected Framework review - Azure Firewall', 'url': 'https://learn.microsoft.com/azure/well-architected/service-guides/azure-firewall#recommendations'}]","Using the Azure Firewall latency probe metric to monitor sustained latency over 30ms (accounting for normal spikes) can help identify when firewall instance CPU utilization is under stress, potentially indicating performance issues
",True,Improved CPU stress detection,MonitoringAndAlerting,High,Active,Microsoft.Network/azureFirewalls,,[]
Deploy Azure Bastion across Availability Zones,azure-resources/Network/bastionHosts/recommendations.yaml,c9b0c6f6-1f64-4b4b-8165-00770b295dd7,False,"[{'name': 'Reliability in Azure Bastion', 'url': 'https://learn.microsoft.com/azure/reliability/reliability-bastion'}]","Azure Bastion provides secure operational access to workload components. By distributing your Bastion resource across multiple availability zones, you can enhance the resiliency and reliability of your production workloads.
",True,Provide high availability and resilience to failures,HighAvailability,Medium,Active,Microsoft.Network/bastionHosts,,[]
Deploy Azure Bastion into the virtual network in secondary Azure region,azure-resources/Network/bastionHosts/recommendations.yaml,0e57956d-71d9-4a35-bdcf-d7cfd7cd71f4,False,"[{'name': 'Multi-region support in Azure bastion', 'url': 'https://learn.microsoft.com/azure/reliability/reliability-bastion#multi-region-support'}]","Azure Bastion is a single-region service, if the primary region becomes unavailable, the Bastion resource will also be unavailable. To ensure disaster recovery, it is recommended to deploy Azure Bastion into separate virtual networks across different regions.
",True,Provides disaster recovery from regional outages,DisasterRecovery,Medium,Active,Microsoft.Network/bastionHosts,,[]
For better data path performance enable FastPath on ExpressRoute Connections,azure-resources/Network/connections/recommendations.yaml,f6a14b32-a727-4ace-b5fa-7b1c6bdff402,False,"[{'name': 'About ExpressRoute FastPath', 'url': 'https://learn.microsoft.com/azure/expressroute/about-fastpath'}]","ExpressRoute gateways facilitate network traffic and route exchanges. FastPath enhances on-premises to virtual network data path performance by directing traffic straight to virtual machines, bypassing the gateway for improved resiliency through reduced gateway utilization.
",True,Enhances speed and resiliency,Scalability,Medium,Active,Microsoft.Network/connections,,[]
Monitor Azure DDoS Protection Plan metrics,azure-resources/Network/ddosProtectionPlans/recommendations.yaml,ae054bf2-aefa-cf4a-8282-741194cef8da,False,"[{'name': 'Monitoring Azure DDoS Protection', 'url': 'https://learn.microsoft.com/azure/ddos-protection/monitor-ddos-protection-reference'}]","Azure DDoS Plan metrics differentiate packets and bytes by tags: Dropped (packets scrubbed by DDoS), Forwarded (packets to VIP not filtered), and No tag (total packets, sum of dropped and forwarded).
",True,Enhanced security and traffic insight,MonitoringAndAlerting,Medium,Active,Microsoft.Network/ddosProtectionPlans,,[]
Setup DNS cross-region failover using Azure DNS Private Resolvers,azure-resources/Network/dnsResolvers/recommendations.yaml,bdd38c02-96bf-4d4e-a636-293729463f3d,False,"[{'name': 'Resiliency in Azure DNS Private Resolver', 'url': 'https://learn.microsoft.com/azure/dns/private-resolver-reliability'}]","Deploy Azure DNS Private Resolvers across multiple regions to establish cross-region failover.
",False,Ensures BCDR during regional outages.,DisasterRecovery,High,Active,Microsoft.Network/dnsResolvers,,[]
Ensure Time-To-Live (TTL) is set appropriately to ensure RTOs can be met,azure-resources/Network/dnsZones/recommendations.yaml,7d09523b-b3c0-403e-b104-d5d46240d683,False,"[{'name': 'Reliability in Azure DNS', 'url': 'https://learn.microsoft.com/azure/reliability/reliability-dns'}]","Azure DNS allows the Time-To-Live (TTL) for record sets in the zone to be set to a value between 1 and 2147483647 seconds. You should ensure that the TTL for the DNS record sets in your DNS Zones are set appropriately to meet your RTO targets.
",False,Ensures that no cached DNS records exist past RTO targets,DisasterRecovery,Medium,Active,Microsoft.Network/dnsZones,,[]
Connect on-prem networks to Azure critical workloads via multiple ExpressRoutes peering locations,azure-resources/Network/expressRouteCircuits/recommendations.yaml,4d703025-dafc-f840-a183-5dc440456134,False,"[{'name': 'Designing for disaster recovery with ExpressRoute private peering', 'url': 'https://learn.microsoft.com/azure/expressroute/designing-for-disaster-recovery-with-expressroute-privatepeering'}]","Connecting each ExpressRoute Gateway to a minimum of two circuits in different peering locations enhances redundancy and reliability by ensuring alternate pathways for data in case one circuit fails.
",True,Enhanced reliability and redundancy,HighAvailability,High,Active,Microsoft.Network/expressRouteCircuits,,[]
Ensure ExpressRoute's physical links connect to distinct network edge devices,azure-resources/Network/expressRouteCircuits/recommendations.yaml,0e19cc41-8274-1342-b0db-0e4146eacef8,False,"[{'name': 'Designing for high availability with ExpressRoute', 'url': 'https://learn.microsoft.com/azure/expressroute/designing-for-high-availability-with-expressroute'}]","Microsoft or the ExpressRoute provider always ensures physical redundancy in their services. It's essential to maintain this level of physical redundancy (two devices, two links) from the ExpressRoute peering location to your network for optimal performance and reliability.
",True,Enhanced reliability and fault tolerance,HighAvailability,High,Active,Microsoft.Network/expressRouteCircuits,,[]
Ensure both connections of an ExpressRoute are configured in active-active mode,azure-resources/Network/expressRouteCircuits/recommendations.yaml,f06a2bbe-5839-d447-9f39-fc3d20562d88,False,"[{'name': 'Designing for high availability with ExpressRoute - Active-active connections', 'url': 'https://learn.microsoft.com/azure/expressroute/designing-for-high-availability-with-expressroute#active-active-connections'}]","Operating both connections of an ExpressRoute circuit in active-active mode enhances high availability as the Microsoft network will load balance the traffic across the connections on a per-flow basis.
",True,Improved high availability and load balancing,HighAvailability,High,Active,Microsoft.Network/expressRouteCircuits,,[]
Activate Bidirectional Forwarding Detection on edge devices for faster failover,azure-resources/Network/expressRouteCircuits/recommendations.yaml,2a5bf650-586d-db4c-a292-d922be7d3e0e,False,"[{'name': 'Configure BFD over ExpressRoute', 'url': 'https://learn.microsoft.com/azure/expressroute/expressroute-bfd'}]","Enabling BFD over ExpressRoute speeds up link failure detection between MSEE devices and routers configured for ExpressRoute (CE/PE), applicable over both customer and Partner Edge routing devices with managed Layer 3 service.
",True,Faster link failure detection,HighAvailability,High,Active,Microsoft.Network/expressRouteCircuits,,[]
Configure monitoring and alerting for ExpressRoute circuits,azure-resources/Network/expressRouteCircuits/recommendations.yaml,9771a435-d031-814e-9827-9b5fdafc0f87,False,"[{'name': 'Azure Monitor Baseline Alerts - expressRouteCircuits', 'url': 'https://azure.github.io/azure-monitor-baseline-alerts/services/Network/expressRouteCircuits/'}]","Use Network Insights for monitoring ExpressRoute circuit availability, QoS, and throughput. Set alerts based on Azure Monitor Baseline Alerts for availability, QoS metrics, and throughput metrics exceeding specific thresholds.
",True,Enhanced network performance and health,MonitoringAndAlerting,High,Active,Microsoft.Network/expressRouteCircuits,,[]
Configure service health to receive ExpressRoute circuit maintenance notification,azure-resources/Network/expressRouteCircuits/recommendations.yaml,26cb547f-aabc-dc40-be02-d0a9b6b04b1a,False,"[{'name': 'How to view and configure alerts for Azure ExpressRoute circuit maintenance', 'url': 'https://learn.microsoft.com/azure/expressroute/maintenance-alerts'}]","ExpressRoute leverages service health for notifications on both planned and unplanned maintenance, ensuring users are informed about any changes to their ExpressRoute circuits.
",True,Stay informed on circuit updates,MonitoringAndAlerting,High,Disabled,Microsoft.Network/expressRouteCircuits,,[]
Implement rate-limiting across ExpressRoute Direct Circuits to optimize network flow,azure-resources/Network/expressRouteCircuits/recommendations.yaml,d40c769d-2f08-4980-8d8f-a386946276e6,True,"[{'name': 'Rate limiting for ExpressRoute Direct circuits (Preview)', 'url': 'https://learn.microsoft.com/azure/expressroute/rate-limit'}]","Rate limiting controls traffic volume between on-premises networks and Azure via ExpressRoute Direct, applying to private or Microsoft peering. It distributes port bandwidth, ensures stability, and prevents congestion, with steps outlined for enabling on circuits.
",True,"Optimizes network, prevents congestion",Scalability,Medium,Active,Microsoft.Network/expressRouteCircuits,,[]
Connect ExpressRoute gateway with circuits from diverse peering locations,azure-resources/Network/expressRouteGateways/recommendations.yaml,9987c813-d687-4163-a511-95f31bc5e536,False,"[{'name': 'Designing for disaster recovery with ExpressRoute private peering', 'url': 'https://learn.microsoft.com/azure/expressroute/designing-for-disaster-recovery-with-expressroute-privatepeering'}]","For improved reliability, each ExpressRoute gateway should connect to at least two circuits, with each circuit sourced from a different peering location. This setup ensures diverse connectivity paths, enhancing resilience and minimizing service disruption risks.
",True,Enhanced resilience through diverse connectivity paths,HighAvailability,High,Active,Microsoft.Network/expressRouteGateways,,[]
Monitor health for ExpressRoute gateway,azure-resources/Network/expressRouteGateways/recommendations.yaml,17e8d380-e4b4-41a1-9b37-2e4df9fd5125,False,"[{'name': 'Virtual WAN Monitoring Best Practices', 'url': 'https://learn.microsoft.com/azure/virtual-wan/monitoring-best-practices#expressroute-gateway'}]","Set up monitoring and alerts for ExpressRoute Gateway. Create alert rule for ensuring promptly response to critical events such as exceeding packets per second, exceeding BGP routes prefixes, Gateway overutilization and high frequency in route changes.
",True,Detection and mitigation to avoid disruptions.,MonitoringAndAlerting,High,Active,Microsoft.Network/expressRouteGateways,,[]
Avoid using ExpressRoute circuits for VNet to VNet communication,azure-resources/Network/expressRouteGateways/recommendations.yaml,560a76a7-8f64-4ce3-ad27-d174468861a1,False,"[{'name': 'Customization controls for connectivity between Virtual Networks over ExpressRoute', 'url': 'https://techcommunity.microsoft.com/t5/azure-networking-blog/customisation-controls-for-connectivity-between-virtual-networks/ba-p/4147722'}]","Avoid using ExpressRoute circuits for VNet to VNet communication. Use Virtual WAN to connect VNets in different regions. This feature is enabled at the ExpressRoute circuit level but reflected in the Virtual WAN resource.
",False,Shortest path between VNETs. Disables hairpinning at MSEE,HighAvailability,Medium,Active,Microsoft.Network/expressRouteGateways,,[]
The Admin State of both Links of an ExpressRoute Direct should be in Enabled state,azure-resources/Network/expressRoutePorts/recommendations.yaml,60077378-7cb1-4b35-89bb-393884d9921d,True,"[{'name': 'How to configure ExpressRoute Direct Change Admin State of links', 'url': 'https://learn.microsoft.com/azure/expressroute/expressroute-howto-erdirect#state'}]","In Azure ExpressRoute Direct, the ""Admin State"" indicates the administrative status of layer 1 links, showing if a link is enabled or disabled, effectively turning the physical port on or off.
",True,Ensures optimal connectivity.,HighAvailability,High,Active,Microsoft.Network/ExpressRoutePorts,,[]
Ensure ExpressRoute Direct is not over-subscribed,azure-resources/Network/expressRoutePorts/recommendations.yaml,0bee356b-7348-4799-8cab-0c71ffe13018,True,"[{'name': 'About ExpressRoute Direct Circuit Sizes', 'url': 'https://learn.microsoft.com/azure/expressroute/expressroute-erdirect-about?source=recommendations#circuit-sizes'}]","Provisioning ExpressRoute circuits on a 10-Gbps or 100-Gbps ExpressRoute Direct resource up to 20-Gbps or 200-Gbps is possible but not recommended for resiliency. If an ExpressRoute Direct port fails, and circuits are using full capacity, the remaining port won't handle the extra load.
",False,Improves resilience during port failures,Scalability,Medium,Active,Microsoft.Network/ExpressRoutePorts,,[]
Configure monitoring and alerting for ExpressRoute Ports,azure-resources/Network/expressRoutePorts/recommendations.yaml,55815823-d588-4cb7-a5b8-ae581837356e,False,"[{'name': 'Azure Monitor Baseline Alerts - expressRoutePorts', 'url': 'https://azure.github.io/azure-monitor-baseline-alerts/services/Network/expressRoutePorts/'}]","Use Network Insights for monitoring ExpressRoute Port light levels, bits per second in/out, and line protocol. Set alerts based on Azure Monitor Baseline Alerts for light levels, bits per second in/out, and line protocol exceeding specific thresholds.
",False,Enhanced network performance and health,MonitoringAndAlerting,Medium,Active,Microsoft.Network/expressRoutePorts,,[]
Connect on-prem networks to Azure critical workloads via multiple ExpressRoutes peering locations,azure-resources/Network/expressRoutePorts/recommendations.yaml,cce3353a-f409-4559-9959-0ca0e3717114,False,"[{'name': 'Designing for disaster recovery with ExpressRoute private peering', 'url': 'https://learn.microsoft.com/azure/expressroute/designing-for-disaster-recovery-with-expressroute-privatepeering'}]","Ensure resilient connectivity by connecting on-premises networks to Azure through multiple ExpressRoutes, each originating from distinct peering locations, to provide alternate data paths in case of a peering location failure.
",True,Enhanced reliability and redundancy,HighAvailability,High,Active,Microsoft.Network/expressRoutePorts,,[]
Ensure ExpressRoute's physical links connect to distinct network edge devices,azure-resources/Network/expressRoutePorts/recommendations.yaml,222fbb78-be76-4855-a14f-a5e17ef1ccf5,False,"[{'name': 'Designing for high availability with ExpressRoute', 'url': 'https://learn.microsoft.com/azure/expressroute/designing-for-high-availability-with-expressroute'}]","Microsoft or the ExpressRoute provider always ensures physical redundancy in their services. It's essential to maintain this level of physical redundancy (two devices, two links) from the ExpressRoute peering location to your network for optimal performance and reliability.
",True,Enhanced reliability and fault tolerance,HighAvailability,High,Active,Microsoft.Network/expressRoutePorts,,[]
Ensure both connections of an ExpressRoute are configured in active-active mode,azure-resources/Network/expressRoutePorts/recommendations.yaml,859886df-3996-4eab-8439-c1a38c416e0e,False,"[{'name': 'Designing for high availability with ExpressRoute - Active-active connections', 'url': 'https://learn.microsoft.com/azure/expressroute/designing-for-high-availability-with-expressroute#active-active-connections'}]","Operating both connections of an ExpressRoute circuit in active-active mode enhances high availability as the Microsoft network will load balance the traffic across the connections on a per-flow basis.
",True,Improved high availability and load balancing,HighAvailability,High,Active,Microsoft.Network/expressRoutePorts,,[]
Inspect Azure Front Door WAF logs for wrongfully blocked legitimate requests,azure-resources/Network/frontDoorWebApplicationFirewallPolicies/recommendations.yaml,d0cfe47f-686b-5043-bf83-5a3868acb80a,False,"[{'name': 'Azure Web Application Firewall monitoring and logging - Access Log', 'url': 'https://learn.microsoft.com/azure/web-application-firewall/afds/waf-front-door-monitor?pivots=front-door-standard-premium#access-logs'}]","WAF may mistakenly block legitimate requests (false positives). These can be identified by examining the last 24 hours of blocked requests in Log Analytics.
",True,"Reduces false positives, improves access",MonitoringAndAlerting,High,Disabled,Microsoft.Network/frontdoorWebApplicationFirewallPolicies,,[]
Check Azure Application Gateway WAF logs for mistakenly blocked valid requests,azure-resources/Network/frontDoorWebApplicationFirewallPolicies/recommendations.yaml,537b4d94-edd1-4041-b13d-8217dfa485f0,False,"[{'name': 'Azure Web Application Firewall Monitoring and Logging', 'url': 'https://learn.microsoft.com/azure/web-application-firewall/ag/application-gateway-waf-metrics#logs-and-diagnostics'}]","WAF may block legitimate requests as false positives. Identifying blocked requests within the last 24 hours through Log Analytics can help manage and mitigate these incorrect blockages efficiently.
",True,Improve false positive identification,MonitoringAndAlerting,High,Disabled,Microsoft.Network/frontdoorWebApplicationFirewallPolicies,,[]
Use Standard Load Balancer SKU,azure-resources/Network/loadBalancers/recommendations.yaml,38c3bca1-97a1-eb42-8cd3-838b243f35ba,True,"[{'name': 'Reliability and Azure Load Balancer', 'url': 'https://learn.microsoft.com/azure/architecture/framework/services/networking/azure-load-balancer/reliability'}]","Selecting Standard SKU Load Balancer enhances reliability through availability zones and zone resiliency, ensuring deployments withstand zone and region failures. Unlike Basic, it supports global load balancing and offers an SLA.
",True,Enhanced reliability and SLA support,HighAvailability,High,Active,Microsoft.Network/loadBalancers,332e07de-da0d-4ee7-b1c4-ca9016005e1d,[]
Ensure the Backend Pool contains at least two instances,azure-resources/Network/loadBalancers/recommendations.yaml,6d82d042-6d61-ad49-86f0-6a5455398081,True,"[{'name': 'Resiliency checklist for specific Azure services- Azure Load Balancer', 'url': 'https://learn.microsoft.com/azure/architecture/checklist/resiliency-per-service#azure-load-balancer'}]","Deploying Azure Load Balancers with at least two instances in the backend prevents a single point of failure and supports scalability. Pairing with Virtual Machine Scale Sets is advised for optimal scale building.
",True,Enhances reliability and scalability,HighAvailability,High,Active,Microsoft.Network/loadBalancers,5b132ebc-bd86-46fc-b2ee-95bc3e2d3017,[]
Use NAT Gateway instead of Outbound Rules for Production Workloads,azure-resources/Network/loadBalancers/recommendations.yaml,8d319a05-677b-944f-b9b4-ca0fb42e883c,True,"[{'name': 'Resiliency checklist for specific Azure services- Azure Load Balancer', 'url': 'https://learn.microsoft.com/azure/architecture/checklist/resiliency-per-service#azure-load-balancer'}]","Outbound rules for Standard Public Load Balancer involve manual port allocation for backend pools, limiting scalability and risk of SNAT port exhaustion. NAT Gateway is recommended for its dynamic scaling and secure internet connectivity.
",True,Enhanced scalability and reliability,HighAvailability,Medium,Active,Microsoft.Network/loadBalancers,,[]
Ensure Standard Load Balancer is zone-redundant,azure-resources/Network/loadBalancers/recommendations.yaml,621dbc78-3745-4d32-8eac-9e65b27b7512,True,"[{'name': 'Load Balancer and Availability Zones', 'url': 'https://learn.microsoft.com/azure/load-balancer/load-balancer-standard-availability-zones#zone-redundant'}]","In regions with Availability Zones, assigning a zone-redundant frontend IP to a Standard Load Balancer ensures continuous traffic distribution even if one availability zone fails, provided other healthy zones and backend instances are available to receive the traffic.
",True,Enhances uptime and resilience,HighAvailability,High,Active,Microsoft.Network/loadBalancers,796b9be0-487d-4daa-8771-f08e4d7c9c0c,[]
Configure monitoring and alerting for NAT gateway,azure-resources/Network/natGateways/recommendations.yaml,babf75d6-6407-4d90-b01e-5a1768e621f5,False,"[{'name': 'What is Azure NAT Gateway metrics and alerts?', 'url': 'https://learn.microsoft.com/azure/nat-gateway/nat-metrics'}]","Use Network Insights for monitoring and alerting on your NAT gateway.Use Total SNAT connection count metric to determine if you're nearing the connection limit of NAT gateway. Set alerts based on Azure Monitor Baseline Alerts (AMBA) thresholds for NAT Gateway
",True,Enhanced network performance and health,MonitoringAndAlerting,High,Active,Microsoft.Network/natGateways,,[]
Configure Diagnostic Settings for all network security groups,azure-resources/Network/networkSecurityGroups/recommendations.yaml,d2976d3e-294b-4b49-a1f0-c42566a3758f,False,"[{'name': 'Diagnostic settings in Azure Monitor', 'url': 'https://learn.microsoft.com/azure/azure-monitor/essentials/diagnostic-settings'}]","Resource Logs are not collected and stored until you create a diagnostic setting and route them to one or more locations.
",True,Enhanced monitoring and security insights,MonitoringAndAlerting,Medium,Active,Microsoft.Network/networkSecurityGroups,,[]
Monitor changes in Network Security Groups with Azure Monitor,azure-resources/Network/networkSecurityGroups/recommendations.yaml,8bb4a57b-55e4-d24e-9c19-2679d8bc779f,True,"[{'name': 'Azure Monitor activity log', 'url': 'https://learn.microsoft.com/azure/azure-monitor/essentials/activity-log?tabs=powershell'}]","Create Alerts with Azure Monitor for operations like creating or updating Network Security Group rules to catch unauthorized/undesired changes to resources and spot attempts to bypass firewalls or access resources from the outside.
",True,Enhanced security and change monitoring,MonitoringAndAlerting,Low,Active,Microsoft.Network/networkSecurityGroups,,[]
Configure locks for Network Security Groups to avoid accidental changes and/or deletion,azure-resources/Network/networkSecurityGroups/recommendations.yaml,52ac35e8-9c3e-f84d-8ce8-2fab955333d3,False,"[{'name': 'Lock your resources to protect your infrastructure', 'url': 'https://learn.microsoft.com/azure/azure-resource-manager/management/lock-resources?toc=%2Fazure%2Fvirtual-network%2Ftoc.json&tabs=json'}]","As an administrator, you can lock an Azure subscription, resource group, or resource to protect them from accidental deletions and modifications. The lock overrides user permissions. Locks can prevent either deletions or modifications and are known as Delete and Read-only in the portal.
",True,Prevents accidental edits/deletions,Governance,Low,Disabled,Microsoft.Network/networkSecurityGroups,,[]
"The NSG only has Default Security Rules, make sure to configure the necessary rules",azure-resources/Network/networkSecurityGroups/recommendations.yaml,8291c1fa-650c-b44b-b008-4deb7465919d,True,"[{'name': 'Security rules', 'url': 'https://learn.microsoft.com/azure/virtual-network/network-security-groups-overview#security-rules'}]","Azure network security groups filter network traffic between resources in a virtual network, using security rules to allow or deny inbound or outbound traffic based on source, destination, port, and protocol.
",True,Enhanced traffic control and security,Security,Medium,Disabled,Microsoft.Network/networkSecurityGroups,,[]
Deploy Network Watcher in all regions where you have networking services,azure-resources/Network/networkWatchers/recommendations.yaml,4e133bd0-8762-bc40-a95b-b29142427d73,False,"[{'name': 'What is Azure Network Watcher?', 'url': 'https://learn.microsoft.com/azure/network-watcher/network-watcher-overview'}]","Azure Network Watcher offers tools for monitoring, diagnosing, viewing metrics, and managing logs for IaaS resources. It helps maintain the health of VMs, VNets, application gateways, load balancers, but not for PaaS or Web analytics.
",True,Enhanced monitoring and diagnostics for Azure IaaS,MonitoringAndAlerting,Low,Active,Microsoft.Network/networkWatchers,,[]
Fix Flow Log configurations in Failed state or Disabled Status,azure-resources/Network/networkWatchers/recommendations.yaml,22a769ed-0ecb-8b49-bafe-8f52e6373d9c,True,"[{'name': 'Manage NSG flow logs using the Azure portal', 'url': 'https://learn.microsoft.com/azure/network-watcher/nsg-flow-logging'}]","Network security group flow logging is a feature of Azure Network Watcher that logs IP traffic info through a network security group. If in Failed state, monitoring data from the associated resource is not collected.
",True,Ensures IP traffic logging,MonitoringAndAlerting,Low,Active,Microsoft.Network/networkWatchers/flowlogs,,[]
Configure Network Watcher Connection monitor,azure-resources/Network/networkWatchers/recommendations.yaml,1e28bbc1-1eb7-486f-8d7f-93943f40219c,False,"[{'name': 'Connection monitor overview', 'url': 'https://learn.microsoft.com/azure/network-watcher/connection-monitor-overview'}]","Improves monitoring for Azure and Hybrid connectivity
",True,Improves monitoring for Azure and Hybrid connectivity,MonitoringAndAlerting,Medium,Active,Microsoft.Network/networkWatchers,,[]
Enable traffic analytics in Virtual Network Flow Logs configuration,azure-resources/Network/networkWatchers/recommendations.yaml,bf0b7dbd-016d-458c-af99-70fcb03ad451,False,"[{'name': 'Network Watcher traffic analytics', 'url': 'https://learn.microsoft.com/azure/network-watcher/traffic-analytics'}]","Improves monitoring, security and troubleshooting for Azure and Hybrid connectivity
",True,"Improves monitoring, security and troubleshooting.",MonitoringAndAlerting,Medium,Active,Microsoft.Network/networkWatchers/flowlogs,,[]
Monitor health for v-Hub's Point-to-Site VPN gateways,azure-resources/Network/p2sVpnGateways/recommendations.yaml,fd43ea32-2ccf-49a8-ada4-9a78794e3ff1,False,"[{'name': 'Virtual WAN Monitoring Best Practices', 'url': 'https://learn.microsoft.com/azure/virtual-wan/monitoring-best-practices#point-to-site-vpn-gateway'}]","Set up monitoring and alerts for Point-to-Site VPN gateways. Create alert rule for ensuring promptly response to critical events such as Gateway over utilization, connection count limits and User VPN route limits. Mission Critical workloads should use dual ExpressRoutes instead of VPN.
",False,Detection and mitigation to avoid disruptions.,MonitoringAndAlerting,High,Active,Microsoft.Network/p2sVpnGateways,,[]
Protect private DNS zones and records,azure-resources/Network/privateDnsZones/recommendations.yaml,2820f6d6-a23c-7a40-aec5-506f3bd1aeb6,False,"[{'name': 'Protecting private DNS Zones and Records - Azure DNS', 'url': 'https://learn.microsoft.com/azure/dns/dns-protect-private-zones-recordsets'}]","Assign the built-in Private DNS Zone Contributor role to specific authorized users, groups, and entities to protect against unauthorized or accidental changes to Private DNS Zones and records. Restrict access by granting Private DNS Zone Contributor permission to all zones.
",True,Prevents DNS outages,Security,Medium,Disabled,Microsoft.Network/privateDnsZones,,[]
Monitor Private DNS Zones health and set up alerts,azure-resources/Network/privateDnsZones/recommendations.yaml,ab896e8c-49b9-2c44-adec-98339aff7821,False,"[{'name': 'Azure Monitor Baseline Alerts - privateDnsZones', 'url': 'https://azure.github.io/azure-monitor-baseline-alerts/services/Network/privateDnsZones/'}]","Use Azure Monitor to monitor Private DNS Zone query volume, record set count, and capacity metrics for Record Set, Virtual Network Link, and Virtual Network Link with auto-registration. Create alerts based on Azure Monitor Baseline Alerts for these metrics that exceed specific thresholds.
",True,Enhanced DNS reliability and alerting,MonitoringAndAlerting,Medium,Active,Microsoft.Network/privateDnsZones,,[]
Ensure Time-To-Live (TTL) is set appropriately to ensure RTOs can be met,azure-resources/Network/privateDnsZones/recommendations.yaml,3538aa48-c40b-455b-a93b-269fe6e65be2,False,"[{'name': 'Reliability in Azure DNS', 'url': 'https://learn.microsoft.com/azure/reliability/reliability-dns'}]","Azure Private DNS allows the Time-To-Live (TTL) for record sets in the zone to be set to a value between 1 and 2147483647 seconds. You should ensure that the TTL for the DNS record sets in your DNS Zones are set appropriately to meet your RTO targets.
",False,Ensures that no cached DNS records exist past RTO targets,DisasterRecovery,Medium,Active,Microsoft.Network/privateDnsZones,,[]
Use virtual network links to link global Private DNS Zones to VNETs in two or more regions,azure-resources/Network/privateDnsZones/recommendations.yaml,a2341513-2ab8-4aa1-b100-302e54640f18,False,"[{'name': 'Azure Private DNS zone resiliency', 'url': 'https://learn.microsoft.com/azure/dns/private-dns-resiliency'}]","DNS private zones are resilient to regional outages because zone data is globally available. Resource records in a private zone are automatically replicated across regions. Linking a Private DNS Zone to VNETs in multiple regions increases availability and resiliency.
",True,Ensures seamless failover for DNS during a regional outage,HighAvailability,High,Active,Microsoft.Network/privateDnsZones,,[]
